DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1992,23601,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1993,23105,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1994,25886,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1995,25302,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1996,26267,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1997,24669,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1998,24821,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,1999,25576,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2000,27518,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2001,26359,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2002,27056,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2003,25710,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2004,27394,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2005,26210,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2006,26384,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2007,27039,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2008,27685,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2009,24499,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2010,23108,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2011,19894,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2012,20677,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2013,20179,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2014,20562,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2015,21242,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2016,22647,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2017,23508,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2018,24347,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,DK,2019,23130,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,1992,16378,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,1993,15235,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,1994,15598,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,1995,17707,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,1996,18859,
